,Acinar,Alpha,Beta,Delta,Ductal,Endothelial,Gamma,MHCII,Mast,Pancreatic Stellate
RMDN3,1.7241641697692378e-09,6.818368674080302e-14,0.03534704825481249,0.004324101022876788,6.787105326936963e-29,0.4399406811488319,0.0002810681748200378,0.9999510164979749,0.999670996610969,0.1719651072684893
ATP8B2,0.003884108124466904,3.482182028221577e-07,0.6947526451487334,0.6175847330127251,5.494412016918294e-06,0.9991874004493209,0.06904569070749836,0.9999510164979749,0.7971134458377193,0.8915704930388242
SMAD3,2.2680692910024003e-37,1.5128193087732493e-67,4.6253523085348075e-12,0.0025798374419602134,1.717872427415845e-126,0.6573502133831937,1.9942448235696383e-09,0.9999510164979749,0.999670996610969,0.0001453997108834666
ANKRD55,0.9974475110251466,0.8489897858665457,0.999519512745119,1.0,0.7697158239007468,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
THBS4,0.8168689118044735,0.4937047676752555,0.8561708085314297,1.0,1.0,0.9991874004493209,0.7960079290265328,0.9999510164979749,0.999670996610969,0.0013422392458254681
HIST1H3B,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
ZBTB17,0.06408059068270729,2.8193280411706035e-08,0.16847842571539537,0.022238223943549847,4.80580721962257e-09,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.7237691284060138,0.998933473743147
PLCL2,0.09705081685540663,0.1963984954024846,0.07170912627040361,1.0,0.9989930693096231,0.9991874004493209,0.0003491092261099376,0.9999510164979749,0.6013030339021743,0.0054067059791497556
ALB,3.7864876849287225e-90,1.475084735231823e-17,0.6219417936310154,0.05755711208437483,0.22137541126088073,0.7733884479373786,0.2595289819060048,0.9999510164979749,0.999670996610969,0.04577936754848767
TRIO,0.99875358821529,0.650707303133864,5.848502680072643e-11,0.6819271399109504,6.577788643744208e-05,0.9197612159059413,0.4406492449149862,0.9999510164979749,0.7612761097636525,5.469413148007296e-05
PPIP5K1,0.02040185980178068,0.12430536500810797,0.2392140862671559,1.0,0.46486191003753885,0.08352371126014524,0.48327969529494047,0.9999510164979749,0.9408220224800632,0.04276069109872473
PRDM16,2.354572038190118e-05,3.7028509096946245e-15,0.0013675403498001671,1.0,8.488357172523768e-57,0.3645521581516754,4.026099298904159e-06,0.9999510164979749,0.735590991596772,0.0371379300598499
CYP4A22,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
LOC100130880,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
ZNF358,0.16557909733728665,0.9984213551874129,0.21019467138186307,1.0,0.9989930693096231,0.1313029608945687,0.42957407558889504,0.9999510164979749,0.09404937312409721,0.4790860301155856
OR7E91P,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.8336098612694648,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
CCL22,0.8912443495258068,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.7923802367235631,0.999670996610969,0.998933473743147
OR9A2,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
LOC101928200,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
KRT12,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
GOT2,0.4073923439140844,0.0006257166887158552,0.999519512745119,0.15423751534243804,7.975908635330541e-41,0.3293049728912865,4.890443386042749e-08,0.9999510164979749,0.45378920378464155,0.033908670082264565
SNORA29,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
DOK4,2.278080726440298e-14,2.7863612796462974e-05,8.700503049002138e-19,7.198786064429387e-07,1.1059324759897132e-65,0.5525552882703795,3.380585119837512e-09,0.5689051423584287,0.13370491811359156,0.5631403709025689
MICA,3.4459841127255664e-24,2.4655968002834263e-43,1.5048276174924348e-06,0.0007310224340582921,6.024913013533439e-70,0.05946083661148162,4.095679329989892e-06,0.7057693763834041,0.999670996610969,2.2350265654803898e-05
TMEM8C,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
SCNM1,0.12797541925925993,0.010011986268381299,0.999519512745119,0.05557653882049476,0.27763901881202646,0.03116728294618095,0.765479161608021,0.9999510164979749,0.3815224079316588,0.10675560265863861
POM121L4P,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
CCNT1,0.022226315534746723,0.9984213551874129,0.000643142132323404,0.08036122351245625,0.4916171974898297,0.9194785504000786,0.24935833818216274,0.9999510164979749,0.7676487310990383,0.7021455378681954
