"","UKB_460K.body_BMIz","UKB_460K.cov_EDU_YEARS","UKB_460K.lung_FVCzSMOKE","PASS_Intelligence_SavageJansen2018","UKB_460K.mental_NEUROTICISM","UKB_460K.bp_DIASTOLICadjMEDz","UKB_460K.blood_WHITE_COUNT","UKB_460K.body_HEIGHTz","UKB_460K.other_MORNINGPERSON","UKB_460K.repro_MENARCHE_AGE","UKB_460K.biochemistry_TotalProtein","UKB_460K.body_WHRadjBMIz","UKB_460K.lung_FEV1FVCzSMOKE","PASS_ReactionTime_Davies2018","UKB_460K.biochemistry_Creatinine","UKB_460K.blood_RED_COUNT","PASS_BDSCZ_Ruderfer2018","UKB_460K.blood_PLATELET_COUNT","UKB_460K.bmd_HEEL_TSCOREz","PASS_SleepDuration_Dashti2019","UKB_460K.biochemistry_IGF1","PASS_GeneralRiskTolerance_KarlssonLinner2019","UKB_460K.biochemistry_AspartateAminotransferase","UKB_460K.blood_RBC_DISTRIB_WIDTH","PASS_Insomnia_Jansen2019","PASS_Height1","UKB_460K.repro_NumberChildrenEverBorn_Pooled","PASS_AtrialFibrillation_Nielsen2018","UKB_460K.biochemistry_Testosterone_Male","PASS_BMI1","UKB_460K.disease_HYPOTHYROIDISM_SELF_REP","PASS_AgeFirstBirth","UKB_460K.body_BALDING1","UKB_460K.biochemistry_AlkalinePhosphatase","UKB_460K.disease_ALLERGY_ECZEMA_DIAGNOSED","PASS_DrinksPerWeek_Liu2019","UKB_460K.biochemistry_Phosphate","PASS_MedicationUse_Wu2019","PASS_BreastCancer","PASS_IBD_deLange2017","UKB_460K.biochemistry_VitaminD","PASS_MDD_Wray2018","UKB_460K.biochemistry_Cholesterol","PASS_ADHD_Demontis2018","UKB_460K.biochemistry_TotalBilirubin","UKB_460K.repro_MENOPAUSE_AGE","UKB_460K.pigment_SUNBURN","PASS_NumberChildrenEverBorn","PASS_SCZvsBD_Ruderfer2018","PASS_Years_of_Education1","PASS_HDL","PASS_LDL","PASS_CigarettesPerDay_Liu2019","PASS_IschemicStroke_Malik2018","PASS_Anorexia","PASS_Alzheimers_Jansen2019","PASS_Rheumatoid_Arthritis","PASS_Ever_Smoked","PASS_ProstateCancer","UKB_460K.cancer_PROSTATE","UKB_460K.cancer_BREAST","PASS_Type_2_Diabetes","PASS_Autism","PASS_Coronary_Artery_Disease"
"Best4..Enterocytes",2.16908908379,1.26268635555,3.22503273952,1.87773694863,1,4.35118554949,7.03947400821,5.22840425599,1.60635906566,1.63804849334,8.41076609854,4.47258062826,4.21724935631,2.18950153961,7.03743854913,10.265850384,2.99617732527,10.6836954055,4.22504046325,1,5.46878274511,1,7.9809456627,12.1250595389,1.75398058704,6.02017804828,1.37081809178,5.55115410324,7.60946573675,2.02391051201,7.21666487718,1.53903029477,2.93938963826,11.4963835069,5.65024843339,2.57559721848,6.74484941606,3.13084995817,3.82910162131,10.2741880133,4.02458221898,1,9.95994592608,1,8.84394995012,5.80053012132,3.75647649659,1.41919399782,3.37984698709,1,10.8633014558,11.8517322516,2.38819976553,3.70614334956,1,10.4379620827,8.4992625552,1,10.3368150113,6.70851586202,3.79353129822,5.80147987433,1,6.34113108817
"CD4..Activated.Fos.hi",1.26446851933,1,1.5025008322,1,1,3.65828653562,9.76522484342,3.83205971381,1,1.55260105255,10.823398532,2.59641365522,2.95056650163,1,4.01930294151,9.2145606708,1.38772981757,7.54283805708,1.65803672765,1.96506901802,3.2737532036,1,6.12784385768,9.10718737229,1,3.63730417161,1,2.81131988097,4.68848875299,1,20.10571307,1,2.4925730191,6.18241504468,14.2549929497,1,5.54859627467,1.70660931854,4.24139945574,16.4625209497,1.87495147998,1,4.85472242501,1,4.8752220375,2.73232754364,1.43423316942,1,2.23111266084,1,3.63265244241,6.65381011495,1,1,1,8.66476694268,15.5435360106,1.16009039617,4.17124570627,2.24834824626,4.93112126169,1,1,1
"CD4..Activated.Fos.lo",1.36511228498,1,1.42215716187,1,1,3.63631416901,9.56887939368,3.58160827761,1,1.66872316247,11.0508137131,2.43353486423,2.95875854658,1,3.98614093757,9.63149365175,1.93527362888,7.08658105932,1.6667112362,1.91298609359,3.38472499956,1,6.22619886473,9.04419381109,1,2.99493259138,1,2.74262078314,4.84222895804,1,20.5933646703,1,2.4845252309,6.54519802098,14.6727101935,1.38436407911,5.51481313034,2.0161823622,4.17970746868,16.8106279905,2.11427632021,1,4.94205658088,1,5.05797664387,1.74745133731,1.39361650568,1,2.16146581685,1,3.4859227656,6.66709698205,1,1,1,8.14564292416,15.8597454399,1,4.36584616786,2.46795012776,4.63891035681,1,1,1
"CD4..Memory",1.30245852926,1,1.53216680205,1,1,3.12506377512,9.04876037897,2.72788359942,1,1.70368745405,10.5073474912,1.97919899762,2.58374293086,1,3.55516319369,9.33691935167,2.64139164358,6.47981143352,1.72280490014,1.46696661883,2.04504505519,1,4.93862486941,6.99620175623,1,2.8316393728,1,3.78372332963,4.30407471921,1,19.4782915881,1,2.31021349904,4.35501152717,14.4450469636,1.82278855954,4.42055948107,1.54085397407,3.43356069891,15.902027674,2.02201414411,1,3.90067680707,1,4.6552933316,2.2523544885,1.61265720027,1,2.29217277323,1,2.30281565831,4.94601999908,1,1.99557808065,1,5.41101206614,15.2820749416,1,4.35448182503,2.45924905987,3.68465110394,1,1,1
"CD4..PD1.",1.2673482615,1,2.11955539094,1,1,3.40446700701,8.34777315902,3.29405114879,1,1.40046550387,8.27632665004,2.63853518128,2.62398253911,1,3.87068447548,8.83388335459,1.87173274083,7.73589111769,2.80171488111,1.75872724215,2.83876523227,1,6.11826766811,7.94422744949,1.24547383042,3.37945192125,1.65828980376,3.29830019493,4.50350466562,1,14.9326100965,1.12265822926,2.97161524646,6.26796664184,8.92928014106,2.03619229982,4.43893968579,1.94384974843,2.55737240705,12.3634369243,2.75800682427,1,5.28357579565,1,6.27490986254,3.2193420402,1.88033705554,1,1.73072670968,1,4.8794226737,8.20751089497,1.2461122734,3.1631313458,1,5.89341126415,11.0308252119,1,3.91363281166,2.78494912839,3.01381670848,2.0390080507,1,2.60349845064
"CD69..Mast",1.6750025377,1,1.85706571179,1,1.24281768278,3.13677949579,9.59337619751,2.55594096025,1,1,8.96967001998,2.49536527319,2.95175789723,1,4.68982910824,6.9700179061,2.22901515942,8.21875488673,3.5721398551,2.41092277497,3.32894320949,1,7.86729300091,10.8700452647,1.93315070849,3.288469488,3.07784281642,3.89368637173,4.16447083235,1.4056241664,8.30031276854,1,1.10534752172,6.54489110003,6.69753555546,1.59166712241,4.65941051727,1.54713020165,1.62596123247,8.82816563485,3.51936840329,1,8.45882992084,1.66401197852,6.8021982994,2.85363381738,1,2.43837169619,2.04340080806,1,6.15869179655,9.37304001639,5.77944011264,1.67271029066,2.37127936709,10.7837718204,8.82123716877,1.83880439531,3.39339956403,6.40903647512,2.55188417794,6.94150562441,1,2.39507789639
"CD69..Mast.1",1.30043846948,1,2.46890053852,1,1,4.06374197567,8.08660772257,3.9954001222,1,1.24216731063,8.82422382633,3.35657411218,3.17435857849,1.13267212897,4.74939536892,7.0653696602,2.06308701883,9.11547640547,3.37586416384,2.17205913595,4.04947300374,1,7.95641787474,10.6749051112,1.34995926768,4.81300036671,2.08580326782,4.46106047243,4.80654023987,1,10.0778169332,1,2.24572801729,6.7330375742,6.37848715013,1.68527069304,5.07134414457,2.10731682526,2.92943490863,9.41326747115,3.91816243271,1,8.15224101774,1,7.16018724584,3.86478065496,2.295902358,1,1.26290309485,1,6.20402306649,9.34006284337,4.03940632852,2.19043062354,2.78452920545,11.5463983704,7.0421040455,1,5.67432946478,5.62050773154,3.67430418841,5.29247262521,1.20563028584,4.60400709978
"CD8..IELs",1.23858921262,1,1.61662826578,1,1,4.11030174345,10.0066950027,3.68760944756,1,1.7818516222,9.05374222104,2.86627363692,2.76167647974,1,4.0091789408,9.12201599729,1.19151631647,7.97816558035,1,1.57789539875,3.81156882981,1,7.09926948587,9.3331505466,1,3.49423715428,1,2.95629293667,4.7806907268,1,15.21832449,1,2.90407379966,6.52287820324,11.0571437452,1.11648620397,4.59831693682,2.64391187532,5.58609041686,13.8689326299,1.49238074573,1,4.80320076905,1,5.2857910649,2.82909893703,2.27499775048,1,2.18184093125,1,3.71536412487,6.82238874598,1,1.61253088858,1,11.7291536916,10.9715830395,1.7416308733,4.78021644404,1.50127876871,5.58173979988,1,1.97692126756,1
"CD8..IL17.",1,1,1.81227275492,1,1,4.49114207225,9.61121049519,3.48769218504,1,1.46621562765,9.24121099362,2.98022977816,2.49760506482,1,3.70345493736,8.34392361926,1.47590058856,7.33082587081,2.26952584679,1.27605572651,3.08465527673,1,6.87599636165,10.2453514825,1,3.1709952109,1.41529171598,3.31531691853,4.55985709277,1,14.0700920359,1,1.48278780237,7.2002595416,11.4993966822,1.46855979575,4.045551487,2.0293871144,5.1442554104,13.4378706215,2.63017221359,1,4.98510328304,1,5.54923866265,3.08382615259,2.02335780504,1,1.50259980914,1,4.36185478246,7.66871572523,1.49957708615,2.5930559556,1,5.89475283863,11.3060069646,1.82134461039,4.19472070829,3.22608104387,3.25968215436,3.06950994785,1,1
"CD8..LP",1,1,1.31731470483,1,1,3.27024177216,9.87646153597,3.33438714747,1,1.56479278382,9.61142754876,1.74948787239,2.64748615634,1,3.18035523463,8.63734989216,1.3345795776,6.59742868833,1.47846851825,1.51535546547,2.9344644878,1,6.59655626813,8.83215393796,1,2.8905282752,1,2.07383356857,4.79221873541,1,19.4633783761,1,2.588449125,5.03498318057,13.5212642549,1,3.6587155718,1.17681742985,4.62782149113,16.1000472514,1.4219674284,1,4.3905757195,1,4.55485911092,1.80474839075,1.59258867296,1,1.88637533824,1,3.06474651636,6.20907166726,1,2.02946936205,1,8.85378288742,15.7682145148,1,3.80088475611,1.38844693362,5.22677123168,1,1,1
