"","UKB_460K.body_BMIz","UKB_460K.cov_EDU_YEARS","UKB_460K.lung_FVCzSMOKE","PASS_Intelligence_SavageJansen2018","UKB_460K.mental_NEUROTICISM","UKB_460K.bp_DIASTOLICadjMEDz","UKB_460K.blood_WHITE_COUNT","UKB_460K.body_HEIGHTz","UKB_460K.other_MORNINGPERSON","UKB_460K.repro_MENARCHE_AGE","UKB_460K.biochemistry_TotalProtein","UKB_460K.body_WHRadjBMIz","UKB_460K.lung_FEV1FVCzSMOKE","PASS_ReactionTime_Davies2018","UKB_460K.biochemistry_Creatinine","UKB_460K.blood_RED_COUNT","PASS_BDSCZ_Ruderfer2018","UKB_460K.blood_PLATELET_COUNT","UKB_460K.bmd_HEEL_TSCOREz","PASS_SleepDuration_Dashti2019","UKB_460K.biochemistry_IGF1","PASS_GeneralRiskTolerance_KarlssonLinner2019","UKB_460K.biochemistry_AspartateAminotransferase","UKB_460K.blood_RBC_DISTRIB_WIDTH","PASS_Insomnia_Jansen2019","PASS_Height1","UKB_460K.repro_NumberChildrenEverBorn_Pooled","PASS_AtrialFibrillation_Nielsen2018","UKB_460K.biochemistry_Testosterone_Male","PASS_BMI1","UKB_460K.disease_HYPOTHYROIDISM_SELF_REP","PASS_AgeFirstBirth","UKB_460K.body_BALDING1","UKB_460K.biochemistry_AlkalinePhosphatase","UKB_460K.disease_ALLERGY_ECZEMA_DIAGNOSED","PASS_DrinksPerWeek_Liu2019","UKB_460K.biochemistry_Phosphate","PASS_MedicationUse_Wu2019","PASS_BreastCancer","PASS_IBD_deLange2017","UKB_460K.biochemistry_VitaminD","PASS_MDD_Wray2018","UKB_460K.biochemistry_Cholesterol","PASS_ADHD_Demontis2018","UKB_460K.biochemistry_TotalBilirubin","UKB_460K.repro_MENOPAUSE_AGE","UKB_460K.pigment_SUNBURN","PASS_NumberChildrenEverBorn","PASS_SCZvsBD_Ruderfer2018","PASS_Years_of_Education1","PASS_HDL","PASS_LDL","PASS_CigarettesPerDay_Liu2019","PASS_IschemicStroke_Malik2018","PASS_Anorexia","PASS_Alzheimers_Jansen2019","PASS_Rheumatoid_Arthritis","PASS_Ever_Smoked","PASS_ProstateCancer","UKB_460K.cancer_PROSTATE","UKB_460K.cancer_BREAST","PASS_Type_2_Diabetes","PASS_Autism","PASS_Coronary_Artery_Disease"
"Cycling.B",2.11847680164,1.20769013983,2.33437098545,1.58327080589,1,4.63596955232,10.3636753328,4.83626142473,1.54861247271,1.85736251855,13.4970744143,3.70728005101,3.37905477665,1.53758910705,5.46461411915,12.5024764966,3.29089417748,11.8240510855,2.77248658857,2.58022053884,5.26657075534,1,8.71000581247,14.0102166416,1.89545368564,5.24953572053,1.32744999385,5.72621563377,5.94065113064,2.15675583115,13.1637081693,1.59707957163,2.75371470536,8.01701499098,9.57761933975,1.8077168498,6.36168750585,2.8365335552,5.85149964885,15.5807141801,4.01524109406,1,9.0848273482,1,10.3433617985,8.45913671562,5.08174517243,1,2.87038300496,1.14003364726,8.3742140005,11.0641981447,1.34523261514,1.25477449762,1,15.0159522593,14.1434090427,1,6.74514864859,4.06855980015,4.83021309418,5.690635115,1.43985415098,6.0255468667
"Cycling.Monocytes",1.84080966899,1,2.28150287647,1.39315723934,1,4.81609124248,9.73827627315,4.96779176162,1,1.75973000301,13.3382123704,3.58497644975,3.02736008993,1.81001443747,5.50264797345,10.6495932789,2.58283040297,11.3613700114,3.00696951391,2.48609441727,4.87090810671,1,9.70566842378,13.0722156611,1.662675272,4.90188409355,1,4.97534726812,7.51481164033,1.79495126817,11.1247123845,1,1.92573174094,10.2925621559,7.66854882283,1.94950016264,7.25941285266,2.46793775532,4.05866966047,14.9257790207,3.32158515324,1.1562447677,10.3011208526,1,9.67640589861,5.04994887679,4.07432571682,1,2.71455686752,1,10.3665248169,11.3070219879,1.85070854262,2.77383866908,1,14.5528279551,10.6743468853,1,7.1811844193,5.43813138788,2.4274509021,3.3953034244,1,6.48068239251
"Cycling.T",1.52677158534,1,2.03007629,1,1,4.45297986207,10.3754511526,4.07927189283,1,1.66990827417,10.3217331281,2.91315401371,2.88421292979,1.23468575085,4.32506713038,10.5288033608,2.19577856031,9.21820201377,2.29222949192,1.71863605722,3.71543278163,1,6.55433446834,11.0489498943,1,3.98998614734,1.15742236165,4.39969812659,5.51344126878,1.11575977121,14.3750815168,1.27516037629,3.55124894526,7.19875808824,10.7398300284,1.92539339516,4.75765408412,2.10600983655,5.94827830883,14.2767796791,2.7933983972,1,6.81368614207,1,6.71525041144,4.5393779012,2.99560176831,1,2.66025765862,1,6.04069161611,9.53266278787,1.29173705045,2.57098583331,1,8.9816137141,12.3024284335,1.28069774889,5.25610303132,3.15211628805,5.6770971887,4.34379884032,1,2.99175367133
"Cycling.TA",2.28603769329,1.48654293551,3.44196043466,2.06487455913,1,5.00482401644,7.68019430607,6.06047033133,1.84115145295,2.27128234618,9.06538254045,4.82940985352,4.55741450471,2.13000251274,6.95655577762,10.6323120632,3.08878373137,10.9905142843,4.77834560653,1.77354180122,6.10950756123,1,9.00623447362,13.5666199902,1.94892988479,6.65167866233,1.20795411852,5.82958179706,8.03201436094,2.50458388805,7.50585577365,1.8934758298,3.74982993422,9.9268461865,5.84241512448,2.718375685,7.19199479076,2.83737471384,5.36445530774,10.5657813799,4.53020790876,1,10.653572535,1,10.1077021829,7.77074011282,4.2928560478,1,3.54414928776,1.88335028059,10.360615237,13.5431683581,1.79313355208,4.34746566173,1,11.4977235901,8.04458937518,1,11.7209525431,7.21645126455,8.86853280879,6.19516414048,1.17116922385,7.30174537942
"DC1",1.46017754375,1.29419236028,2.15825114842,1.41943214537,1,4.61366090844,8.98108683508,5.18288659516,1,1.85508593462,10.9247331299,3.08346498036,3.07881064944,1.36197584736,4.50697425908,9.68142920666,1.63216594242,10.4436311689,2.38440498811,1.84537381261,4.3782246387,1,8.42003770445,11.4484910153,1.50594798433,5.16987530303,1,3.90050625908,6.25616545971,1,11.7427567766,1.67962380778,1.80822975232,6.70559375562,9.92831114293,1.70637089878,6.8431314605,2.02753822913,5.34940202052,14.8848083356,3.30240688379,1,7.31170268308,1,10.1365951277,5.55874556176,3.13569239011,1,2.71629027659,1,5.17355933183,10.6154652883,1.29508951155,1.1205614269,1,13.8342137898,10.6044432556,1,5.40380238169,5.61758619087,5.11442683396,1.95366383425,1.21061275548,6.12495284265
"DC2",1.51757325537,1.26964814626,2.15419966317,1.24683649029,1,4.32852408449,10.9516950269,4.42460186344,1,1.52477084929,12.9447541988,3.15098059315,2.88088909776,1.65327833751,4.54980698277,9.70673595871,1.94925743759,10.890047079,2.80372146655,2.5010998169,4.32103073811,1,9.72569152227,11.3016418734,1.85310236886,4.76222126852,1,4.70541623473,6.9373013966,1.22241033708,11.2310603201,1.35699229698,2.01272624773,9.28823136201,8.50339986519,1.49045145604,5.59244266455,1.84405893389,4.11990009978,16.9752389795,3.14241820145,1,7.36811191686,1,9.67199509063,5.21192332527,4.88696259824,1,2.21098298061,1,6.84039065481,8.19612087086,1.72465106547,1.60420640467,1,15.1453622238,10.7036956486,1,7.07164944146,5.59642452214,4.21833314343,2.06019094137,1,7.32614986936
"Endothelial",1,1,2.62139495682,1,1,6.340510915,10.0948653562,4.64371134985,1,1.25649297835,9.91180434413,4.6617966403,5.14944602779,1.25053546492,6.02861612806,8.14596949842,1,10.0248221136,4.27950605544,1,6.07799300191,1,10.8305603065,8.19937310516,1,5.84822660049,1,6.54444992138,5.61268319995,1.19161629791,6.02339398467,1.16952202141,1.54608004569,10.9949856909,5.60575837821,1.78567293252,7.90355719911,2.33728926366,3.03787770695,10.0142283886,2.74466508577,1,8.31958659298,1.9460993183,7.21507732844,2.94983888186,2.05372767851,1,2.75414751778,1,5.86843079022,7.92438937997,1,2.54152381726,1,10.7298213189,6.096825054,1,7.13597051113,7.3811460116,2.0107406387,2.09860496833,1,9.45038283156
"Enterocyte.Progenitors",1.72032921214,1,1.70879187349,1.48039850818,1,3.6278482148,4.80066196791,2.95475845232,1,1.87085595974,7.43529177178,3.27051742201,1.86560356581,1.46655712694,6.95576298729,6.87626846342,2.33465591432,10.1691042619,1.25931537202,1,4.89263513632,1,4.92223606524,11.6052828988,1,4.0643552137,1.50468640794,5.00489430959,9.20071381057,1,7.59554214654,1,2.13628197373,14.7311772174,5.133453671,4.56217914966,7.45361297237,2.59145086761,3.51065317513,10.0913927518,4.69820492347,1,9.46759028418,1,12.7787831898,2.75102004219,2.0768867946,1,1,1,18.3718687929,11.8970731972,1,3.57201096651,1,6.57204715727,8.58990102645,1,6.84312973457,6.65025191394,1,7.12231502474,1,5.6297255311
"Enterocytes",1.93177448148,1.1620615703,2.7867465565,1.84142779709,1,4.92160693216,6.55589555468,5.18639629588,1.21170865365,1.47327857629,8.74243128415,4.17474731784,3.6808760493,2.1063327599,6.81244671594,9.29695535595,2.86879322778,10.0343235875,4.39738494173,1.10851092732,5.47798600167,1,7.96609848524,10.8607469802,1,6.13679818129,1.3005980813,6.06848291914,7.53327317542,1.90977770171,6.46594172462,1.27533371697,2.84315940852,11.1822164616,5.19808272629,2.08269378438,8.08225553442,2.54131383281,5.2109921378,10.2832293281,4.12404646833,1,9.13885670752,1,9.28354228005,5.35730080989,2.33099402513,1.42487651043,2.87137968594,1,9.81810014785,10.3794910348,2.23053489235,2.90450055083,1,9.10933808852,8.20504638932,1,10.3835003381,5.59283329551,10.1156300051,4.0125263514,1,7.43758365314
"Enteroendocrine",2.5151894599,1.53153637183,3.47121022528,1.98959261631,1,4.90912432108,7.08047643408,5.54798210588,1.72615752552,2.31671353189,8.10293081241,4.52068925513,3.99294753553,2.24650168694,6.72383896811,9.29943003535,2.86845925475,9.94619923492,3.89654478227,1.6440365166,5.18023216482,1,7.50797222971,11.516868518,1.93027130193,6.47284200258,1.36977844828,5.2262757457,6.94630548069,2.45106403422,7.20487616207,1.58106059035,3.48626027141,10.1048426637,5.93339105939,2.89145890891,6.71782675352,3.26956761119,4.65187088965,10.0224623348,3.78961010655,1,9.06972798192,1,9.01388154884,6.45833881629,4.40342883975,1,3.06475176125,2.06850574423,10.6628186485,11.0486596473,2.16793616807,3.01214534307,1,10.9032086903,7.66497415294,1,9.87688200048,8.7882762208,4.61209241874,5.22053390872,1,6.65676558883
"Follicular",1.31375080736,1.11621182494,1.38490521387,1,1,3.98037272514,11.1892945637,3.00677194928,1,1.12806648345,14.4982668132,2.97822632818,1.99327948229,1,4.10604739927,9.47110892711,1.65155144382,8.84861254688,1.95566907976,2.51448040522,3.83621360667,1,7.11010896356,10.4887091945,1,3.39032628379,1,3.83793346619,4.25485824139,1.28836124985,14.6631099608,1.81823123598,2.10680254564,6.71767927946,12.9071329984,2.18568558931,4.65882956439,2.06702660763,5.89599993397,17.6037943609,3.01335430428,1,5.94200974794,1,10.9833548794,4.12759620464,2.33179858203,1,2.8371117362,1,5.24995415732,7.60507332392,1,1,1,16.880885404,15.5536189316,1,2.79691710753,2.05387530464,5.11909998579,1.99233237505,2.64167070558,4.41105041397
"GC",1.31048224603,1,1.88556289056,1,1,4.501478143,9.14301250934,3.29044100633,1,1.20882286721,12.7029351399,3.16400688794,2.73221010565,1,3.74396074955,10.8511792405,1.816774571,9.8422670876,2.00649154395,1.96822753018,4.16161529351,1,7.68696881341,10.2866274924,1.42583826367,4.14917363406,1,5.27258634397,4.6517044948,1.69186780503,13.9221683238,1,1.1439752954,4.65785984687,9.78842034713,1.67589996936,4.6030185342,2.48801403855,5.50928549756,14.3513439049,4.13478472957,1,6.50740641168,1,9.49121089223,5.5074538693,3.03609336307,1,1.58880415457,1,6.27842540778,9.0114555021,1,1,1,13.9493764761,13.5620276249,1,4.15102901722,2.88316843809,4.391366363,3.10195971403,1.82970019897,5.42893973924
"Glia",2.15395755092,1.23548946433,2.6403496962,1.57514059778,2.03561387344,3.39971803558,6.74957831534,4.99178897676,1.1232816091,1.98762980755,11.4519113289,3.88866179098,4.63076123611,1.66782023571,4.02008225542,5.60180467663,1.8565611001,8.03544273556,5.95945952111,2.76080253143,3.46048759525,1,7.41117167166,9.12332796853,3.06802812253,5.48071912958,2.14832150713,4.9746115234,4.77510451811,1.66285096403,5.897149403,1,2.53147500878,10.6956674577,3.94168809092,1.93916836066,6.50632654907,3.4620492512,2.74782580796,10.1907454265,3.45848667164,1,7.88717381423,1,5.77139296469,1.8350972926,1.25267876464,1,5.52412827103,1.32294253521,7.7927584738,8.18319526992,2.23363598476,2.08342100898,1,8.67505837017,5.86245711738,2.6564108981,4.12996868929,3.11220013974,4.97801640402,1.27300088828,1,10.3415897249
"Goblet",2.33446284727,1,2.18369193614,1.6366250308,1,4.93861070632,6.17345260307,4.50714260753,1,1,7.47964723664,4.51624051748,3.95945535141,1.84372510245,6.69078414244,8.61669898504,3.02499657652,9.6594377349,3.49432309895,1,5.57834205449,1,8.64508469784,10.5149394258,1,6.32300611449,1.5520973889,6.92706423804,7.2594184963,1.57797522281,4.89266000567,1.47763252791,2.17692953759,13.9706878725,5.62279844365,2.54154181496,7.01386830783,3.22897468196,4.79114993867,9.00088005212,3.4561227298,1,8.13961805888,1,7.92341184564,5.15044122555,3.74290180899,1.18990044909,2.85049352182,1.6335903731,9.4574603345,12.3633544885,1,3.4189219579,1,6.24422833834,11.0984206462,1,9.85945286689,7.81376939045,10.6059016894,4.99751468457,1,7.94996830775
"ILCs",1.11176252335,1,1.4730986298,1,1,5.38297320448,10.0714851297,3.45080846998,1,1.71739413035,10.6315637161,3.01540194283,2.94622367157,1,4.41467585144,8.99355042446,1.24661344908,8.09111459022,3.21783284531,1.54788122456,3.25437801815,1,5.83986856822,11.2179294201,1.58561120852,4.17110575162,1,3.360277808,3.83880546151,1,15.8802069775,1,2.77944175208,7.34402945023,12.1935317254,2.00926107361,4.73012970402,2.61193181251,7.89466438164,14.9914888165,3.16697249954,1,5.67627036933,1,6.4074088786,3.6602994886,2.22274177513,1,1,1,6.75485811069,8.06013925593,1.12735946208,3.81627975819,1,9.95769128995,13.9713911046,1,4.83506509825,1.85357508346,7.86574182754,4.82901132831,1.47046795511,1.84058045845
"Immature.Enterocytes.1",2.03105741287,1,2.37635053356,1.84682858402,1,4.90384896248,6.34550504393,4.50607800885,1,1,9.36930945171,4.10985884014,3.57605816823,1.63992499229,7.02606867867,10.4648673207,3.56412542632,10.8482708745,4.7735875388,1,5.38641093699,1,8.3166217755,9.83333684013,1,5.95273889692,1.38952773414,5.9339611749,7.44024744963,1.33892630041,5.12764590218,1.45883917551,2.53385583333,15.8243309641,5.39583619615,1.87620124847,8.3045901246,3.3858457436,3.43902504842,10.2078454307,3.54727701797,1,8.86137782511,1,9.67710287738,4.91955956238,3.50375716162,1.13767727388,3.18727508361,1,10.546533667,11.8231238565,1.95188036539,2.87215030487,1,9.00445159849,10.0753841774,1,7.5457230211,4.8735549732,2.35591719682,3.53915394005,1,5.73718188526
"Immature.Enterocytes.2",1.96298704577,1.28664470944,3.094431114,1.71598158245,1,4.95643143992,6.84684471252,5.18357364201,1.42840734355,1.82753810797,8.33982293163,4.21503512722,3.97972044088,1.99687270826,6.63821772131,9.97594460012,2.89279034292,10.3787610264,4.58850685202,1.21488267297,5.31035171551,1,8.16168271522,12.2523875364,1.50705697022,5.88069630864,1.31624742392,5.66365791891,7.30044243181,1.97903274358,6.91770849906,2.05717069112,3.36766319092,10.0335560193,5.35904900537,2.24685346186,7.03528346238,2.63459287588,5.54526730563,10.1596762304,4.37777726865,1,9.62793809309,1,9.53421387741,6.64532723685,3.83054016563,1,3.70916179628,1,9.42182420813,11.6011451666,1.89776857953,3.71452112707,1,9.24990712718,8.53669098848,1,11.3911368748,6.06342007676,9.86816987841,4.62368437399,1,7.37053785792
"Immature.Goblet",2.04046270093,1,3.27265741379,1,1,3.72559361855,5.74933419866,3.88655372126,1.20206927683,1.14191586021,8.09381652298,3.06804209581,4.10217884045,1.5524457918,5.65092928911,6.66271378568,2.17819581702,8.33037463276,2.73250751572,1,3.40270017156,1,6.07433722322,11.9749674729,1.50607032725,3.9307465762,1.42248551375,4.58385691596,5.86541886053,1,5.57499618635,1,3.58324402455,11.4527270393,5.5050388044,2.0753701247,8.03803720241,3.08477048871,5.02642382343,9.21302985122,4.14016010258,1,8.11335158531,1,8.78157446444,3.84073343279,2.08480931399,1,4.19177111418,2.32273793462,10.8233886375,9.11208974298,1,2.12133157106,1,7.5273290028,7.39963996923,1,6.81179821209,9.54568051651,7.04262231077,1.97137303391,1,3.18088598068
"Inflammatory.Fibroblasts",1.56368655907,1.10544264236,3.45637942047,1,1,5.34971450874,8.4798625613,6.85939091113,1.22737668236,1.73335405137,10.0960265006,4.84018377668,4.65883059776,1.20539670038,6.10101049808,7.00108081237,1.76431628789,10.3595342119,5.01925256454,1.49717625941,5.29011907298,1,8.73377342825,10.4815972977,1,7.97714371457,1,5.52246019964,6.97000260649,1.56233920146,5.57202259941,1,2.21949350192,11.7718383422,5.61643694673,3.13553451519,7.21253072549,2.01375582397,5.38531480509,9.99394335772,4.44182261151,1,11.1034914125,1,6.6742803705,4.99860291907,4.2540675449,1,2.81976603108,1,8.38920791807,9.87001172234,1,4.37673512158,1,13.4285364425,6.66085067064,1,5.92669228436,5.90280427247,4.22612358848,4.51910757036,1,11.1832395603
"Inflammatory.Monocytes",1,1,1.27793198,1.18976886792,1,4.61301520865,10.2235772694,3.93429457683,1,1.71717898302,13.2882733551,2.68118261154,2.12529646261,1,3.38452027421,7.71241991629,1,8.11465575366,1.74967929524,2.99684378077,3.11079641309,1,9.55057008026,8.14593774478,1,4.13455519654,1,3.36768368894,7.34339459348,1,9.78013082584,1,1.85563703835,9.06473863756,7.59897209695,1,5.4186020962,2.37816540483,4.81367964737,14.9324199156,3.0064927289,1,7.17219975392,1,7.31865074274,1.86134035911,2.69904884725,1,1,1,4.90808685821,8.48282956038,2.49120433961,1.76045451488,1,13.4855187207,8.74567196863,1,4.07148657432,4.30026293859,7.02082307073,1,1,5.39778800011
